media_id,url,name,facebook_page,twitter_handle,entertainment_only,allsides_media_bias_rating,adfontes_bias,adfontes_reliability,https://github.com/hauselin/domain-quality-ratings/blob/main/data/domain_ratings.csv
1,http://nytimes.com,New York Times,https://www.facebook.com/nytimes/,nytimes,0,Lean Left,-7.8,42.9,
2,http://washingtonpost.com,Washington Post,https://www.facebook.com/washingtonpost,washingtonpost,0,Lean Left,-8.79,40.04,
4,http://www.usatoday.com,USA Today,https://www.facebook.com/usatoday,USATODAY,0,Lean Left,-4.97,45.18,
6,http://www.latimes.com/,LA Times,https://www.facebook.com/latimes,latimes,0,Lean Left,-10.13,43.63,
7,http://www.nypost.com/,New York Post,https://www.facebook.com/NYPost,nypost,0,Lean Right,12.6,32.89,
1106,https://www.economist.com/,Economist,https://www.facebook.com/TheEconomist,TheEconomist,0,Lean Left,-1.66,44.36,
372870,http://axios.com/,Axios,https://www.facebook.com/axiosnews,axios,0,Center,-4.35,44.24,
1095,http://www.cnn.com/,CNN,https://www.facebook.com/cnn,cnn,0,Left,-8.49,42.5,
4442,http://www.reuters.com,Reuters,https://www.facebook.com/Reuters,Reuters,0,Center,-1.28,47.83,
1092,http://www.foxnews.com/,Fox News,https://www.facebook.com/FoxNews,FoxNews,0,Right,13.57,35.82,
1149,http://www.msnbc.msn.com/,MSNBC,https://www.facebook.com/msnbc/,MSNBC,0,Left,-14.39,35.46,
1096,http://www.npr.org/,NPR,https://www.facebook.com/NPR,npr,0,Lean Left,-4.87,44.42,
26164,http://vice.com,VICE,https://www.facebook.com/VICE/,VICE,0,Left,-10.41,38.71,
1110,http://www.theatlantic.com/,The Atlantic,https://www.facebook.com/TheAtlantic,TheAtlantic,0,Lean Left,-9.38,39.01,
19334,http://www.breitbart.com,Breitbart,https://www.facebook.com/Breitbart,breitbartnews,0,Right,16.17,30.26,
5915,http://www.fivethirtyeight.com/,FiveThirtyEight,https://www.facebook.com/fivethirtyeight,FiveThirtyEight,0,Center,-6.95,43.5,
1154,https://apnews.com/,AP,https://www.facebook.com/APNews,AP,0,,-1.9,48.67,
8,http://www.nydailynews.com/,Daily News,https://www.facebook.com/NYDailyNews,NYDailyNews,0,Left,-7.61,41.25,
9,http://www.chicagotribune.com/,Chicago Tribune,https://www.facebook.com/chicagotribune,chicagotribune,0,Center,-4.4,45.44,
10,http://www.chron.com/,houstonchronicle,https://www.facebook.com/houstonchronicle,HoustonChron,0,Center,-3.28,44.85,
12,http://www.dallasnews.com/,Dallas Morning News,https://www.facebook.com/dallasmorningnews,dallasnews,0,Center,-3.08,44.3,
13,http://www.newsday.com/,Newsday,https://www.facebook.com/newsday,Newsday,0,,-3.35,47.69,
14,http://www.sfgate.com/,SF Chronicle,https://www.facebook.com/SFChronicle,sfchronicle,0,Left,-6.31,45.06,
15,https://www.bostonglobe.com/,The Boston Globe,https://www.facebook.com/globe,BostonGlobe,0,Left,-9.52,44.44,
17,http://www.ajc.com/,The Atlanta Journal Constitution,https://www.facebook.com/ajc,ajc,0,Lean Left,-3.24,45.84,
19,http://www.startribune.com/,Star Tribune,https://www.facebook.com/startribune,StarTribune,0,Lean Left,-3.77,46.42,
22,http://www.tampabay.com/,Tampa Bay Times,https://www.facebook.com/tampabaycom,TB_Times,0,Center,-3.57,46.35,
