state,chamber,name,party_abb,twitter_handle,instagram_handle,Instagram_URL,List
Alabama,U.S. Senator,"Shelby, Richard",R,SenShelby,senatorshelby,https://www.instagram.com/senatorshelby,congress2022
Alabama,U.S. Senator,"Tuberville, Tommy",R,Ttuberville,sentuberville,https://www.instagram.com/sentuberville,congress2022
Alabama 1st District,U.S. Representative,"Carl, Jerry",R,RepJerryCarl,repjerrycarl,https://www.instagram.com/repjerrycarl,congress2022
Alabama 2nd District,U.S. Representative,"Moore, Barry",R,RepBarryMoore,barrymooreforcongress,https://www.instagram.com/barrymooreforcongress,congress2022
Alabama 3rd District,U.S. Representative,"Rogers, Mike",R,RepMikeRogers,repmikerogersal,https://www.instagram.com/repmikerogersal,congress2022
Alabama 4th District,U.S. Representative,"Aderholt, Robert",R,Robert_Aderholt,robert_aderholt,https://www.instagram.com/robert_aderholt,congress2022
Alabama 5th District,U.S. Representative,"Brooks, Mo",R,RepMoBrooks,,,
Alabama 6th District,U.S. Representative,"Palmer, Gary",R,USRepGaryPalmer,repgarypalmer,https://www.instagram.com/repgarypalmer,congress2022
Alabama 7th District,U.S. Representative,"Sewell, Terri A.",D,RepTerriSewell,repterriasewell,https://www.instagram.com/repterriasewell,congress2022
Alaska,U.S. Senator,"Sullivan, Dan",R,SenDanSullivan,sen_dansullivan,https://www.instagram.com/sen_dansullivan,congress2022
Alaska,U.S. Senator,"Murkowski, Lisa",R,lisamurkowski,senlisamurkowski,https://www.instagram.com/senlisamurkowski,congress2022
Alaska At-Large,U.S. Representative,"Young, Don",R,RepDonYoung,repdonyoung,https://www.instagram.com/repdonyoung,congress2022
Arizona,U.S. Senator,"Kelly, Mark",D,SenMarkKelly,enmarkkelly,https://www.instagram.com/enmarkkelly,congress2022
Arizona,U.S. Senator,"Sinema, Kyrsten",D,SenatorSinema,senatorsinema,https://www.instagram.com/senatorsinema,congress2022
Arizona 1st District,U.S. Representative,"O'Halleran, Tom",D,TomOHalleran,repohalleran,https://www.instagram.com/repohalleran,congress2022
Arizona 2nd District,U.S. Representative,"Kirkpatrick, Ann",D,RepKirkPatrick,RepAnnKirkpatrick,https://www.instagram.com/RepAnnKirkpatrick,congress2022
Arizona 3rd District,U.S. Representative,"Grijalva, Raul",D,RepRaulGrijalva,repraulgrijalva,https://www.instagram.com/repraulgrijalva,congress2022
Arizona 4th District,U.S. Representative,"Gosar, Paul A.",R,RepGosar,repgosar,https://www.instagram.com/repgosar,congress2022
Arizona 5th District,U.S. Representative,"Biggs, Andy",R,AndyBiggs4AZ,repandybiggs,https://www.instagram.com/repandybiggs,congress2022
Arizona 6th District,U.S. Representative,"Schweikert, David",R,RepDavid,repdavid,https://www.instagram.com/repdavid,congress2022
Arizona 7th District,U.S. Representative,"Gallego, Ruben",D,RepRubenGallego,reprubengallego,https://www.instagram.com/reprubengallego,congress2022
Arizona 8th District,U.S. Representative,"Lesko, Debbie",R,RepDLesko,replesko,https://www.instagram.com/replesko,congress2022
Arizona 9th District,U.S. Representative,"Stanton, Greg",D,RepGregStanton,repgregstanton,https://www.instagram.com/repgregstanton,congress2022
Arkansas,U.S. Senator,"Cotton, Tom",R,SenTomCotton,tomcottonar,https://www.instagram.com/tomcottonar,congress2022
Arkansas,U.S. Senator,"Boozman, John",R,JohnBoozman,johnboozman,https://www.instagram.com/johnboozman,congress2022
Arkansas 1st District,U.S. Representative,"Crawford, Rick",R,RepRickCrawford,reprickcrawford,https://www.instagram.com/reprickcrawford,congress2022
Arkansas 2nd District,U.S. Representative,"Hill, French",R,RepFrenchHill,repfrenchhill,https://www.instagram.com/repfrenchhill,congress2022
Arkansas 3rd District,U.S. Representative,"Womack, Steve",R,rep_stevewomack,rep_stevewomack,https://www.instagram.com/rep_stevewomack,congress2022
Arkansas 4th District,U.S. Representative,"Westerman, Bruce",R,RepWesterman,repwesterman,https://www.instagram.com/repwesterman,congress2022
California,U.S. Senator,"Feinstein, Dianne",D,SenFeinstein,,,
California,U.S. Senator,"Padilla, Alex",D,KamalaHarris,kamalaharris,https://www.instagram.com/kamalaharris,congress2022
California 1st District,U.S. Representative,"LaMalfa, Doug",R,RepLaMalfa,repdouglamalfa,https://www.instagram.com/repdouglamalfa,congress2022
California 2nd District,U.S. Representative,"Huffman, Jared",D,RepHuffman,rephuffman,https://www.instagram.com/rephuffman,congress2022
California 3rd District,U.S. Representative,"Garamendi, John",D,RepGaramendi,repgaramendi,https://www.instagram.com/repgaramendi,congress2022
California 4th District,U.S. Representative,"McClintock, Tom",R,RepMcClintock,,,
California 5th District,U.S. Representative,"Thompson, Mike",D,RepThompson,repmikethompson,https://www.instagram.com/repmikethompson,congress2022
California 6th District,U.S. Representative,"Matsui, Doris O.",D,DorisMatsui,repdorismatsui,https://www.instagram.com/repdorismatsui,congress2022
California 7th District,U.S. Representative,"Bera, Ami",D,RepBera,repbera,https://www.instagram.com/repbera,congress2022
California 8th District,U.S. Representative,"Obernolte, Jay",R,JayObernolte,repjayobernolte,https://www.instagram.com/repjayobernolte,congress2022
California 9th District,U.S. Representative,"McNerney, Jerry",D,RepMcNerney,,,
California 10th District,U.S. Representative,"Harder, Josh",D,RepJoshHarder,repjoshharder,https://www.instagram.com/repjoshharder,congress2022
California 11th District,U.S. Representative,"DeSaulnier, Mark",D,RepDeSaulnier,repdesaulnier,https://www.instagram.com/repdesaulnier,congress2022
California 12th District,U.S. Representative,"Pelosi, Nancy",D,SpeakerPelosi,speakerpelosi,https://www.instagram.com/speakerpelosi,congress2022
California 13th District,U.S. Representative,"Lee, Barbara",D,RepBarbaraLee,repbarbaralee,https://www.instagram.com/repbarbaralee,congress2022
California 14th District,U.S. Representative,"Speier, Jackie",D,RepSpeier,jackiespeier,https://www.instagram.com/jackiespeier,congress2022
California 15th District,U.S. Representative,"Swalwell, Eric",D,RepSwalwell,repswalwell,https://www.instagram.com/repswalwell,congress2022
California 16th District,U.S. Representative,"Costa, Jim",D,RepJimCosta,repjimcosta,https://www.instagram.com/repjimcosta,congress2022
California 17th District,U.S. Representative,"Khanna, Ro",D,RoKhannaUSA,reprokhanna,https://www.instagram.com/reprokhanna,congress2022
California 18th District,U.S. Representative,"Eshoo, Anna G.",D,RepAnnaEshoo,repannaeshoo,https://www.instagram.com/repannaeshoo,congress2022
California 19th District,U.S. Representative,"Lofgren, Zoe",D,RepZoeLofgren,,,
